"city","city_slug","category","category_slug","listing_count","under_12","under_3","indexable"
"Orange Beach, AL","orange-beach-al","Trading card stores","trading-card-stores","10","yes","no","yes"
"Mobile, AL","mobile-al","HVAC","hvac","12","no","no","yes"
"Mobile, AL","mobile-al","Plumbing","plumbing","12","no","no","yes"
"Mobile, AL","mobile-al","Auto mechanics","auto-mechanics","12","no","no","yes"
"Mobile, AL","mobile-al","Roofing","roofing","10","yes","no","yes"
"Mobile, AL","mobile-al","Electrical","electrical","12","no","no","yes"
"Mobile, AL","mobile-al","Lawn care","lawn-care","1","yes","yes","no"
"Mobile, AL","mobile-al","Pest control","pest-control","12","no","no","yes"
"Mobile, AL","mobile-al","House cleaning","house-cleaning","1","yes","yes","no"
"Mobile, AL","mobile-al","Landscaping","landscaping","12","no","no","yes"
"Mobile, AL","mobile-al","Tree service","tree-service","12","no","no","yes"
"Mobile, AL","mobile-al","Garage door repair","garage-door-repair","1","yes","yes","no"
"Mobile, AL","mobile-al","Locksmith","locksmith","1","yes","yes","no"
"Mobile, AL","mobile-al","Appliance repair","appliance-repair","1","yes","yes","no"
"Mobile, AL","mobile-al","Movers","movers","1","yes","yes","no"
"Mobile, AL","mobile-al","Handyman","handyman","12","no","no","yes"
"Mobile, AL","mobile-al","Painting","painting","12","no","no","yes"
"Mobile, AL","mobile-al","Pool service","pool-service","12","no","no","yes"
"Mobile, AL","mobile-al","Kitchen & bath remodeling","kitchen-bath-remodeling","12","no","no","yes"
"Mobile, AL","mobile-al","Flooring","flooring","1","yes","yes","no"
"Mobile, AL","mobile-al","Towing","towing","1","yes","yes","no"
"Mobile, AL","mobile-al","Auto body & collision","auto-body-collision","1","yes","yes","no"
"Mobile, AL","mobile-al","Fence builders","fence-builders","12","no","no","yes"
"Mobile, AL","mobile-al","Junk removal","junk-removal","1","yes","yes","no"
"Mobile, AL","mobile-al","Water damage & mold remediation","water-damage-mold-remediation","12","no","no","yes"
"Mobile, AL","mobile-al","Concrete & driveways","concrete","12","no","no","yes"
"Mobile, AL","mobile-al","Gutters","gutters","1","yes","yes","no"
"Mobile, AL","mobile-al","Carpet cleaning","carpet-cleaning","1","yes","yes","no"
"Mobile, AL","mobile-al","Pressure washing","pressure-washing","12","no","no","yes"
"Mobile, AL","mobile-al","Septic services","septic-services","1","yes","yes","no"
"Mobile, AL","mobile-al","Pool installation","pool-installation","12","no","no","yes"
"Mobile, AL","mobile-al","Window tinting","window-tinting","12","no","no","yes"
"Mobile, AL","mobile-al","Generator installation","generator-installation","10","yes","no","yes"
"Mobile, AL","mobile-al","Insulation","insulation","12","no","no","yes"
"Mobile, AL","mobile-al","Marine services","marine-services","12","no","no","yes"
"Mobile, AL","mobile-al","Screen enclosures & pool cages","screen-enclosures-pool-cages","10","yes","no","yes"
"Mobile, AL","mobile-al","Hurricane shutters & impact windows","hurricane-shutters-impact-windows","10","yes","no","yes"
"Mobile, AL","mobile-al","Trading card stores","trading-card-stores","10","yes","no","yes"
"Tampa, FL","tampa-fl","HVAC","hvac","12","no","no","yes"
"Tampa, FL","tampa-fl","Plumbing","plumbing","10","yes","no","yes"
"Tampa, FL","tampa-fl","Auto mechanics","auto-mechanics","12","no","no","yes"
"Tampa, FL","tampa-fl","Roofing","roofing","10","yes","no","yes"
"Tampa, FL","tampa-fl","Electrical","electrical","10","yes","no","yes"
"Tampa, FL","tampa-fl","Lawn care","lawn-care","1","yes","yes","no"
"Tampa, FL","tampa-fl","Pest control","pest-control","12","no","no","yes"
"Tampa, FL","tampa-fl","House cleaning","house-cleaning","1","yes","yes","no"
"Tampa, FL","tampa-fl","Landscaping","landscaping","12","no","no","yes"
"Tampa, FL","tampa-fl","Tree service","tree-service","12","no","no","yes"
"Tampa, FL","tampa-fl","Garage door repair","garage-door-repair","1","yes","yes","no"
"Tampa, FL","tampa-fl","Locksmith","locksmith","1","yes","yes","no"
"Tampa, FL","tampa-fl","Appliance repair","appliance-repair","1","yes","yes","no"
"Tampa, FL","tampa-fl","Movers","movers","1","yes","yes","no"
"Tampa, FL","tampa-fl","Handyman","handyman","12","no","no","yes"
